ID_sort,umol_L,length,width,depth,volume
L_086_18,19.60953401,45,54,33,41987.38582
L_087_18,8.626373614,40,45,28.5,26860.61719
L_088_18,17.90306962,40.5,50.5,28,29984.93108
L_089_18,19.40656869,32.5,41,24,16744.68884
L_090_18,1.708155261,41,47.5,27,27532.13262
L_091_18,0.88709853,42,50,31,34086.28029
L_092_18,24.216559,39.5,46.5,27,25966.44138
L_093_18,-0.345231563,42.5,51,31,35181.91073
L_094_18,1.66091779,41,49,29,30505.38827
L_095_18,1.671260345,42.5,52.5,29,33880.11327
L_096_18,24.16095484,43.5,53,29,35007.55234
L_097_18,1.833054017,34,42.5,25,18915.00577
L_098_18,17.41239824,46.5,56,31,42266.98756
L_099_18,18.31653564,34.5,44,24,19075.75059
L_100_18,35.47293074,42,48.5,30,31997.12118
L_101_18,17.32036023,36,45.5,25,21441.36986
L_102_18,8.668319753,45,52.5,32,39584.06744
L_103_18,5.448942001,46,55,31,41065.85197
,,42,50,34.5,37934.73129
L_105_18,25.24804021,52,62,35.5,59926.92706
L_106_18,12.97383425,48,56.5,32,45439.99614
L_107_18,21.77682762,39,46.5,28,26587.29863
L_108_18,8.901938363,46,57,33,45304.90766
L_109_18,25.46754122,48,59.5,32,47852.7393
L_111_18,23.06151871,39,49,27,27016.12602
L_112_18,4.591788557,45,53,32,39961.05855
L_113_18,28.22316593,39.5,49,28,28375.91204
L_114_18,23.62382044,44,51.5,30,35594.24477
,,.,.,.,
L_116_18,3.401763565,41.5,48,26,27118.22779
L_117_18,-0.281419804,39.5,48.5,29,29089.44628
L_118_18,34.92760342,40,50.5,29.5,31201.25104
,,.,.,.,
L_120_18,19.75185473,41,51,30,32845.35119
L_121_18,15.56053889,37,47,25,22763.45677
L_122_18,15.98418831,37,48.5,29,27248.34208
L_123_18,30.07089126,45,56,30.5,40243.80189
L_124_18,7.794325659,42,51,27,30281.81159
L_125_18,20.23074776,44,51,30,35248.66957
L_126_18,24.83050825,39.5,47.5,26.5,26033.65837
L_130_18,0.659920179,50.5,60,36,57114.15444
L_131_18,35.01952296,45,56,33,43542.47418
L_132_18,1.842675523,40,47,36.5,35929.34798
L_133_18,17.96321105,.,.,.,
,,34.5,45.5,23,18904.14109
,,37,45.5,26,22918.44201
L_136_18,11.12727826,41,49,29,30505.38827
L_137_18,30.27605481,37,45,26,22666.591
L_138_18,16.68363272,32,42,22,15481.7686
L_139_18,1.259058837,37,46,23.5,20942.38023
L_140_18,28.98585239,43,53,23.5,28042.11783
L_141_18,20.53922855,43,52.5,31,36642.75131
L_142_18,27.75420002,47,46.5,25,28608.1281
L_143_18,4.070402575,43.5,52.5,34.5,41254.02028
,,38,51,28,28412.56396
,,.,.,.,
L_146_18,25.11059284,45.5,54,32,41167.43013
L_147_18,1.639998229,36,40,27,20357.5204
L_148_18,26.31331634,36.5,44,25.5,21442.94066
L_149_18,24.2956181,34,43,26,19903.03666
L_150_18,6.341470063,36,44,26,21563.89197
L_151_18,2.467187704,35.5,46,25,21375.92001
L_152_18,2.84104906,46,54,32,41619.81947
L_153_18,38.43952125,44,56,34,43865.01102
L_154_18,27.32855804,.,.,.,
L_155_18,15.48465739,42,50,36,39584.06744
L_156_18,33.45205568,44,52.5,30.5,36890.15173
L_157_18,12.98285743,43,52.5,29,34278.70284
L_158_18,13.79924256,42,47,32,33074.68746
L_159_18,3.045129919,38.5,48,27,26125.48451
L_160_18,30.31916709,38,47,27,25248.98016
L_161_18,16.42187667,36,45,26,22053.98043
L_162_18,-0.381187323,46,57,32.5,44618.46966
L_163_18,26.07753723,47,59,35,50817.87917
L_164_18,20.58300863,44,52.5,31.5,38099.66491
L_165_18,0.881531093,44,53,33,40294.06737
L_166_18,3.10414069,43,53,30,35798.44829
