ID_sort,umol_L,length,width,depth,mass
M-C-042,1.92995106,40,56,29,2.069800648
M-C-110,22.71603087,40,54,29,1.994850624
M-T-043,-0.120917207,41.5,53,30,2.102914343
M-T-044,16.65646653,44,50,27,1.890179041
M-T-045,18.01094887,35,50,26,1.441125023
M-T-046,27.6007696,39.5,53.5,28,1.882780956
M-T-047,12.26114027,35,50,28,1.554196178
M-T-048,4.73314373,40,53,30.5,2.060108834
M-T-049,,40,52,30.5,#N/A
M-T-050,2.036766795,35.5,49.5,23,1.276905322
M-T-051,,.,.,.,#N/A
M-T-052,1.349357983,38.5,51,28.5,1.779038171
M-T-053,,40,54.5,30,#N/A
M-T-054,,.,.,.,#N/A
M-T-055,34.67016772,38,55.5,28.5,1.913003261
M-T-056,21.71284844,37,44,26.5,1.36494737
M-T-057,23.57674274,37,49.5,28,1.627918572
M-T-058,13.35292036,33,47,29,1.424293574
M-T-059,15.40234316,36.5,49.5,27.5,1.57634601
M-T-060,24.60565473,38,52,28,1.758628828
M-T-061,22.76480681,36,51.5,26,1.528480567
M-T-062,-7.70203944,40,53,29,1.957375613
M-T-063,3.278080549,39.5,57,30,2.153311773
M-T-064,25.48241827,35,48.5,27,1.451866782
M-T-065,23.14268382,32.5,50,25,1.283633056
M-T-066,34.60723587,41,57,31,2.311676003
M-T-067,-1.910109206,37,51.5,28.5,1.72563628
M-T-068,36.5732028,42,57,30,2.291420113
M-T-069,27.04095246,36,53,25,1.512198321
M-T-070,18.2651479,37,50.5,29.5,1.7519334
M-T-071,3.228571507,34,46,24.5,1.209103011
M-T-072,25.16394397,36,50,27,1.54127376
M-T-073,21.80865908,34,50,25,1.344206889
M-T-074,,34,51,25.5,#N/A
M-T-075,23.54449309,42.5,60,32,2.607373228
M-T-076,2.032115008,38.5,53.5,30,1.967471252
M-T-077,3.366725136,38,54.5,28,1.844562906
M-T-078,20.33957414,36,50.5,27,1.556974498
M-T-079,8.918588806,34,43,25.5,1.175601643
M-T-080,1.21570678,36,52,27,1.604076711
M-T-081,-2.188039902,38,54,27,1.761084087
M-T-082,3.12334903,37,51,26,1.556199153
M-T-083,6.067951957,37,52,29.5,1.804826471
M-T-084,3.10236705,34,46.5,27,1.350248119
M-T-085,15.90259282,34,45,27,1.305762696
