ATPase Sample #,clam ID,treatment,A,B,A-B,Protein,ATPase,Mg
8-25 13,M-C-016,M-C,51.16,36.387,14.773,27.378,1.618781503,1.868653664
8-23 20,M-C-014,M-C,55.342,30.346,24.996,41.558,1.804417922,1.331681024
8-25 20,M-C-029,M-C,50.116,30.126,19.99,33.036,1.815292408,1.517011745
8-23 31,M-C-008,M-C,46.046,25.767,20.279,32.022,1.899850103,1.43794891
8-25 43,M-C-023,M-C,50.332,29.536,20.796,31.315,1.992272074,1.607280856
8-23 24,M-C-013,M-C,57.458,32.343,25.115,37.626,2.002471695,1.527082337
8-25 44,M-C-040,M-C,52.012,28.39,23.622,34.106,2.07781622,1.525010262
8-23 54,M-C-022,M-C,58.542,29.896,28.646,40.45,2.124548826,1.447268232
8-23 09,M-C-030,M-C,49.292,25.269,24.023,33.77,2.134113118,1.459638733
8-23 41,M-C-037,M-C,45.449,24.191,21.258,27.418,2.325990225,1.657633671
8-25 32,M-C-031,M-C,66.576,33.794,32.782,41.305,2.380970827,1.61181455
8-23 28,M-C-020,M-C,44.337,23.297,21.04,26.448,2.386569873,1.676383848
8-23 44,M-C-032,M-C,68.012,34.349,33.663,40.822,2.47388663,1.666062417
8-23 07,M-C-033,M-C,46.831,24.343,22.488,24.924,2.706788637,1.878952014
8-23 50,M-C-028,M-C,46.71,26.994,19.716,20.47,2.889496825,2.281875916
8-25 10,M-C-015,M-C,68.195,31.754,36.441,37.812,2.891225008,1.803527981
8-23 03,M-C-039,M-C,59.368,27.732,31.636,31.93,2.972377075,1.859317256
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8-25 06,M-T-066,M-T,22.626,15.486,7.14,20.56,1.041828794,1.100486381
8-25 14,M-T-052,M-T,23.997,16.623,7.374,19.726,1.121464058,1.216516273
8-23 33,M-T-048,M-T,27.627,17.642,9.985,24.474,1.223951949,1.128830596
8-23 17,M-T-075,M-T,34.606,21.752,12.854,28.964,1.331376882,1.194793537
8-25 41,M-T-044,M-T,39.821,28.326,11.495,25.192,1.368886948,1.580700222
8-25 31,M-T-085,M-T,43.289,29.575,13.714,29.83,1.379215555,1.451190077
8-25 34,M-T-083,M-T,40.046,26.802,13.244,25.59,1.552637749,1.564908167
8-25 22,M-T-080,M-T,29.195,19.744,9.451,17.932,1.581139862,1.628095026
8-23 23,M-T-045,M-T,47.875,29.661,18.214,33.45,1.633542601,1.431240658
8-23 45,M-T-076,M-T,27.227,17.109,10.118,17.868,1.698791135,1.523785538
8-23 39,M-T-043,M-T,34.748,21.783,12.965,22.89,1.69921363,1.518042813
8-25 15,M-T-056,M-T,39.109,24.355,14.754,25.102,1.763285794,1.558003346
8-23 13,M-T-067,M-T,32.826,20.701,12.125,19.956,1.822760072,1.644918821
8-25 11,M-T-065,M-T,41.501,27.06,14.441,23.076,1.877405096,1.798448605
8-25 38,M-T-059,M-T,38.465,24.719,13.746,21.746,1.896348754,1.768831049
8-23 47,M-T-055,M-T,40.006,22.509,17.497,25.622,2.048669112,1.561392553
8-23 02,M-T-063,M-T,48.923,25.224,23.699,33.926,2.095649354,1.442050345
8-23 10,M-T-057,M-T,25.908,14.33,11.578,15.53,2.236574372,1.66825499
8-23 48,M-T-060,M-T,41.206,22.094,19.112,23.208,2.470527404,1.775508445
8-23 05,M-T-072,M-T,55.471,25.279,30.192,34.49,2.626152508,1.608321253
8-23 25,M-T-061,M-T,60.918,28.215,32.703,35.342,2.775988908,1.723671552
8-25 47,M-T-078,M-T,48.315,27.886,20.429,21.539,2.845396722,2.24314035
8-25 01,M-T-079,M-T,49.458,26.269,23.189,23.782,2.925195526,2.079640064
8-23 29,M-T-069,M-T,52.905,26.74,26.165,26.204,2.995535033,2.01896657
8-25 36,M-T-073,M-T,64.261,29.323,34.938,29.563,3.54544532,2.173696851
8-23 40,M-T-062,M-T,48.164,16.687,31.477,26.572,3.553778413,1.812584676
8-30 1,L-C-101,L-C,38.031,21.457,16.574,19.764,2.515786278,1.924256223
8-30 2,M-C-025,M-C,39.252,28.017,11.235,16.756,2.011518262,2.342563858
8-30 3,L-C-093,L-C,16.23,11.275,4.955,16.077,0.924612801,1.009516701
8-30 4,L-T-152,L-T,33.146,20.506,12.64,21.909,1.730795563,1.512894244
8-30 5,M-C-038,M-C,49.518,32.674,16.844,27.234,1.855474774,1.818241904
8-30 6,L-C-120,L-C,31.006,18.793,12.213,18.128,2.021127538,1.710392763
8-30 7,L-C-087,L-C,39.464,22.348,17.116,19.85,2.586801008,1.988110831
8-30 8,L-T-168,L-T,21.457,14.881,6.576,12.545,1.572578717,1.710402551
